,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.012,13.1484,0.0000,11.4605,0.0000,12.1351,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.015,13.1451,0.0000,11.4595,0.0000,12.1372,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.017,13.1495,0.0000,11.4595,0.0000,12.1435,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.020,13.1462,0.0000,11.4585,0.0000,12.1414,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.050,13.1429,0.0000,11.4564,0.0000,12.1414,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.053,13.1418,0.0000,11.4625,0.0000,12.1414,0.0000,12.4571,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.056,13.1473,0.0000,11.4605,0.0000,12.1383,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.058,13.1473,0.0000,11.4574,0.0000,12.1424,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.089,13.1451,0.0000,11.4574,0.0000,12.1414,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.092,13.1418,0.0000,11.4574,0.0000,12.1424,0.0000,12.4550,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.095,13.1495,0.0000,11.4564,0.0000,12.1414,0.0000,12.4571,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.105,13.1473,0.0000,11.4615,0.0000,12.1414,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.135,13.1451,0.0000,11.4605,0.0000,12.1404,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.140,13.1451,0.0000,11.4585,0.0000,12.1435,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.142,13.1473,0.0000,11.4574,0.0000,12.1404,0.0000,12.4550,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.144,13.1473,0.0000,11.4585,0.0000,12.1424,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.147,13.1462,0.0000,11.4585,0.0000,12.1435,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.178,13.1484,0.0000,11.4605,0.0000,12.1424,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.181,13.1451,0.0000,11.4595,0.0000,12.1404,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.184,13.1495,0.0000,11.4574,0.0000,12.1414,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.186,13.1451,0.0000,11.4595,0.0000,12.1414,0.0000,12.4571,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.216,13.1495,0.0000,11.4585,0.0000,12.1435,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.220,13.1462,0.0000,11.4595,0.0000,12.1445,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.223,13.1462,0.0000,11.4585,0.0000,12.1414,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.232,13.1440,0.0000,11.4595,0.0000,12.1435,0.0000,12.4539,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.264,13.1484,0.0000,11.4605,0.0000,12.1414,0.0000,12.4550,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.268,13.1484,0.0000,11.4595,0.0000,12.1435,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.270,13.1495,0.0000,11.4574,0.0000,12.1372,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.272,13.1484,0.0000,11.4595,0.0000,12.1414,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.302,13.1451,0.0000,11.4605,0.0000,12.1404,0.0000,12.4603,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.306,13.1517,0.0000,11.4625,0.0000,12.1435,0.0000,12.4518,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.308,13.1473,0.0000,11.4585,0.0000,12.1404,0.0000,12.4560,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.311,13.1484,0.0000,11.4595,0.0000,12.1435,0.0000,12.4571,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.341,13.1473,0.0000,11.4605,0.0000,12.1456,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.344,13.1462,0.0000,11.4625,0.0000,12.1435,0.0000,12.4603,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.347,13.1418,0.0000,11.4635,0.0000,12.1424,0.0000,12.4560,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.354,13.1462,0.0000,11.4605,0.0000,12.1414,0.0000,12.4550,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.385,13.1440,0.0000,11.4595,0.0000,12.1435,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.388,13.1462,0.0000,11.4585,0.0000,12.1445,0.0000,12.4603,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.391,13.1484,0.0000,11.4625,0.0000,12.1424,0.0000,12.4529,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.393,13.1517,0.0000,11.4605,0.0000,12.1435,0.0000,12.4550,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.423,13.1506,0.0000,11.4665,0.0000,12.1435,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.427,13.1462,0.0000,11.4645,0.0000,12.1456,0.0000,12.4603,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.430,13.1517,0.0000,11.4595,0.0000,12.1435,0.0000,12.4634,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.432,13.1462,0.0000,11.4605,0.0000,12.1424,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.462,13.1473,0.0000,11.4625,0.0000,12.1466,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.466,13.1506,0.0000,11.4615,0.0000,12.1445,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.468,13.1495,0.0000,11.4615,0.0000,12.1466,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.475,13.1517,0.0000,11.4605,0.0000,12.1435,0.0000,12.4634,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.502,13.1473,0.0000,11.4605,0.0000,12.1445,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.505,13.1517,0.0000,11.4605,0.0000,12.1435,0.0000,12.4603,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.530,13.1517,0.0000,11.4595,0.0000,12.1435,0.0000,12.4603,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.532,13.1473,0.0000,11.4625,0.0000,12.1466,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.551,13.1429,0.0000,11.4615,0.0000,12.1424,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.553,13.1517,0.0000,11.4675,0.0000,12.1445,0.0000,12.4571,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.556,13.1462,0.0000,11.4625,0.0000,12.1466,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.558,13.1429,0.0000,11.4645,0.0000,12.1445,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.561,13.1473,0.0000,11.4615,0.0000,12.1456,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.564,13.1473,0.0000,11.4635,0.0000,12.1466,0.0000,12.4634,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.596,13.1539,0.0000,11.4655,0.0000,12.1445,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.599,13.1451,0.0000,11.4605,0.0000,12.1476,0.0000,12.4634,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.630,13.1528,0.0000,11.4635,0.0000,12.1487,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.636,13.1462,0.0000,11.4635,0.0000,12.1466,0.0000,12.4603,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.638,13.1473,0.0000,11.4635,0.0000,12.1466,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.641,13.1462,0.0000,11.4645,0.0000,12.1487,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.643,13.1462,0.0000,11.4645,0.0000,12.1497,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.675,13.1462,0.0000,11.4645,0.0000,12.1476,0.0000,12.4634,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.678,13.1484,0.0000,11.4635,0.0000,12.1487,0.0000,12.4645,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.681,13.1462,0.0000,11.4655,0.0000,12.1508,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.683,13.1473,0.0000,11.4635,0.0000,12.1508,0.0000,12.4634,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.687,13.1539,0.0000,11.4645,0.0000,12.1466,0.0000,12.4645,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.716,13.1440,0.0000,11.4645,0.0000,12.1466,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.719,13.1473,0.0000,11.4645,0.0000,12.1518,0.0000,12.4645,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.722,13.1539,0.0000,11.4675,0.0000,12.1518,0.0000,12.4645,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.756,13.1484,0.0000,11.4685,0.0000,12.1539,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.759,13.1484,0.0000,11.4696,0.0000,12.1518,0.0000,12.4666,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.761,13.1506,0.0000,11.4706,0.0000,12.1528,0.0000,12.4656,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.763,13.1473,0.0000,11.4706,0.0000,12.1518,0.0000,12.4645,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.794,13.1495,0.0000,11.4696,0.0000,12.1518,0.0000,12.4645,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.797,13.1484,0.0000,11.4736,0.0000,12.1570,0.0000,12.4645,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.800,13.1605,0.0000,11.4736,0.0000,12.1580,0.0000,12.4645,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.802,13.1649,0.0000,11.4786,0.0000,12.1716,0.0000,12.4719,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.806,13.1837,0.0000,11.4948,0.0000,12.1987,0.0000,12.4772,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.845,13.2622,0.0000,11.5525,0.0000,12.2102,0.0000,12.4889,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.848,13.2866,0.0000,11.6478,0.0000,12.2070,0.0000,12.4899,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.851,13.3022,0.0000,11.6743,0.0000,12.2008,0.0000,12.4942,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.853,13.3100,0.0000,11.6957,0.0000,12.2018,0.0000,12.5037,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.857,13.3222,0.0000,11.7089,0.0000,12.1997,0.0000,12.5090,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.888,13.3322,0.0000,11.7201,0.0000,12.2081,0.0000,12.5111,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.891,13.3512,0.0000,11.7344,0.0000,12.2060,0.0000,12.5090,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.893,13.3657,0.0000,11.7467,0.0000,12.2164,0.0000,12.5228,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.923,13.3713,0.0000,11.7518,0.0000,12.2154,0.0000,12.5207,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.927,13.3824,0.0000,11.7569,0.0000,12.2217,0.0000,12.5238,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.930,13.3802,0.0000,11.7559,0.0000,12.2269,0.0000,12.5249,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.932,13.3891,0.0000,11.7630,0.0000,12.2290,0.0000,12.5238,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.963,13.3936,0.0000,11.7671,0.0000,12.2384,0.0000,12.5281,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.967,13.4003,0.0000,11.7763,0.0000,12.2415,0.0000,12.5313,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.969,13.4059,0.0000,11.7773,0.0000,12.2436,0.0000,12.5377,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.972,13.4171,0.0000,11.7835,0.0000,12.2488,0.0000,12.5377,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.975,13.4216,0.0000,11.7825,0.0000,12.2488,0.0000,12.5419,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.007,13.4227,0.0000,11.7825,0.0000,12.2499,0.0000,12.5408,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.010,13.4339,0.0000,11.7886,0.0000,12.2572,0.0000,12.5451,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.012,13.4328,0.0000,11.7876,0.0000,12.2645,0.0000,12.5430,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.043,13.4407,0.0000,11.7855,0.0000,12.2656,0.0085,12.5408,-0.0169,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.047,13.4395,-0.0084,11.7876,0.0174,12.2677,0.0256,12.5419,-0.0085,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.050,13.4508,0.0751,11.7917,0.0521,12.2750,0.0854,12.5419,-0.0085,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.052,13.4451,0.0334,11.7968,0.0955,12.2761,0.0939,12.5377,-0.0423,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.081,13.4564,0.1169,11.7958,0.0868,12.2855,0.1708,12.5408,-0.0169,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.085,13.4575,0.1252,11.7978,0.1042,12.2918,0.2221,12.5462,0.0254,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.087,13.4631,0.1670,11.7988,0.1129,12.2918,0.2221,12.5462,0.0254,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.113,13.4665,0.1921,11.7998,0.1216,12.2907,0.2136,12.5483,0.0424,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.115,13.4631,0.1670,11.7998,0.1216,12.2991,0.2819,12.5483,0.0424,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.140,13.4732,0.2422,11.8019,0.1389,12.2970,0.2648,12.5430,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.161,13.4732,0.2422,11.8050,0.1650,12.2981,0.2734,12.5472,0.0339,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.163,13.4766,0.2673,11.8039,0.1563,12.3065,0.3418,12.5472,0.0339,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.166,13.4811,0.3008,11.8029,0.1476,12.3023,0.3076,12.5472,0.0339,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.168,13.4833,0.3175,11.8060,0.1737,12.3044,0.3247,12.5472,0.0339,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.171,13.4822,0.3092,11.8060,0.1737,12.3044,0.3247,12.5440,0.0085,OL,OL,OL,OL,OL,OL,0.0000,0.0000
