,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.003,13.0300,0.0000,11.4131,0.0000,12.0407,0.0000,12.3916,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.025,13.0310,0.0000,11.4151,0.0000,12.0387,0.0000,12.3959,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.027,13.0332,0.0000,11.4131,0.0000,12.0355,0.0000,12.3969,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.046,13.0354,0.0000,11.4101,0.0000,12.0366,0.0000,12.3927,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.049,13.0332,0.0000,11.4131,0.0000,12.0355,0.0000,12.3948,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.051,13.0343,0.0000,11.4131,0.0000,12.0376,0.0000,12.3948,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.054,13.0300,0.0000,11.4151,0.0000,12.0407,0.0000,12.3937,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.056,13.0289,0.0000,11.4121,0.0000,12.0387,0.0000,12.3980,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.066,13.0332,0.0000,11.4151,0.0000,12.0376,0.0000,12.3980,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.097,13.0332,0.0000,11.4121,0.0000,12.0387,0.0000,12.3937,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.100,13.0332,0.0000,11.4151,0.0000,12.0345,0.0000,12.3948,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.102,13.0343,0.0000,11.4151,0.0000,12.0428,0.0000,12.3948,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.105,13.0310,0.0000,11.4101,0.0000,12.0366,0.0000,12.3959,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.135,13.0354,0.0000,11.4131,0.0000,12.0376,0.0000,12.3895,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.139,13.0300,0.0000,11.4131,0.0000,12.0376,0.0000,12.3916,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.142,13.0278,0.0000,11.4121,0.0000,12.0376,0.0000,12.3937,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.144,13.0332,0.0000,11.4151,0.0000,12.0387,0.0000,12.3980,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.174,13.0310,0.0000,11.4121,0.0000,12.0345,0.0000,12.3948,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.178,13.0321,0.0000,11.4071,0.0000,12.0355,0.0000,12.3959,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.180,13.0310,0.0000,11.4121,0.0000,12.0387,0.0000,12.3980,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.189,13.0376,0.0000,11.4131,0.0000,12.0387,0.0000,12.3916,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.218,13.0321,0.0000,11.4131,0.0000,12.0366,0.0000,12.3948,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.221,13.0387,0.0000,11.4131,0.0000,12.0387,0.0000,12.3948,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.224,13.0300,0.0000,11.4131,0.0000,12.0355,0.0000,12.3959,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.226,13.0354,0.0000,11.4171,0.0000,12.0376,0.0000,12.3959,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.232,13.0310,0.0000,11.4121,0.0000,12.0366,0.0000,12.3959,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.263,13.0332,0.0000,11.4121,0.0000,12.0366,0.0000,12.3948,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.266,13.0332,0.0000,11.4141,0.0000,12.0387,0.0000,12.3927,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.269,13.0376,0.0000,11.4131,0.0000,12.0387,0.0000,12.3980,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.271,13.0343,0.0000,11.4141,0.0000,12.0397,0.0000,12.3948,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.301,13.0300,0.0000,11.4141,0.0000,12.0366,0.0000,12.3959,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.305,13.0289,0.0000,11.4141,0.0000,12.0428,0.0000,12.3959,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.308,13.0332,0.0000,11.4161,0.0000,12.0407,0.0000,12.4001,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.314,13.0321,0.0000,11.4121,0.0000,12.0407,0.0000,12.3937,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.345,13.0321,0.0000,11.4161,0.0000,12.0387,0.0000,12.3959,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.349,13.0398,0.0000,11.4181,0.0000,12.0387,0.0000,12.3948,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.351,13.0321,0.0000,11.4161,0.0000,12.0407,0.0000,12.3990,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.354,13.0343,0.0000,11.4141,0.0000,12.0387,0.0000,12.3969,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.384,13.0332,0.0000,11.4171,0.0000,12.0397,0.0000,12.3959,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.387,13.0332,0.0000,11.4161,0.0000,12.0418,0.0000,12.4001,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.390,13.0354,0.0000,11.4181,0.0000,12.0438,0.0000,12.4032,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.392,13.0365,0.0000,11.4181,0.0000,12.0428,0.0000,12.3980,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.424,13.0354,0.0000,11.4181,0.0000,12.0376,0.0000,12.4001,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.427,13.0343,0.0000,11.4151,0.0000,12.0428,0.0000,12.3980,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
