,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.007,13.0507,0.0000,11.4373,0.0000,12.0842,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.009,13.0518,0.0000,11.4373,0.0000,12.0842,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.039,13.0518,0.0000,11.4413,0.0000,12.0863,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.042,13.0551,0.0000,11.4373,0.0000,12.0863,0.0000,12.4434,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.045,13.0507,0.0000,11.4353,0.0000,12.0853,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.047,13.0551,0.0000,11.4383,0.0000,12.0853,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.053,13.0540,0.0000,11.4423,0.0000,12.0863,0.0000,12.4423,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.061,13.0507,0.0000,11.4393,0.0000,12.0853,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.091,13.0529,0.0000,11.4413,0.0000,12.0884,0.0000,12.4338,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.095,13.0562,0.0000,11.4393,0.0000,12.0853,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.097,13.0507,0.0000,11.4373,0.0000,12.0811,0.0000,12.4349,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.103,13.0529,0.0000,11.4403,0.0000,12.0853,0.0000,12.4391,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.137,13.0595,0.0000,11.4393,0.0000,12.0853,0.0000,12.4391,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.141,13.0507,0.0000,11.4413,0.0000,12.0853,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.143,13.0540,0.0000,11.4403,0.0000,12.0884,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.146,13.0584,0.0000,11.4403,0.0000,12.0853,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.176,13.0496,0.0000,11.4403,0.0000,12.0842,0.0000,12.4444,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.180,13.0562,0.0000,11.4413,0.0000,12.0874,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.182,13.0518,0.0000,11.4413,0.0000,12.0822,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.185,13.0540,0.0000,11.4353,0.0000,12.0884,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.215,13.0518,0.0000,11.4393,0.0000,12.0842,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.218,13.0518,0.0000,11.4403,0.0000,12.0884,0.0000,12.4349,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.221,13.0562,0.0000,11.4403,0.0000,12.0874,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.223,13.0595,0.0000,11.4423,0.0000,12.0894,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.248,13.0573,0.0000,11.4403,0.0000,12.0853,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.251,13.0540,0.0000,11.4393,0.0000,12.0884,0.0000,12.4391,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.261,13.0540,0.0000,11.4403,0.0000,12.0874,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.266,13.0573,0.0000,11.4423,0.0000,12.0884,0.0000,12.4434,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.297,13.0496,0.0000,11.4403,0.0000,12.0853,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.301,13.0518,0.0000,11.4403,0.0000,12.0884,0.0000,12.4423,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.303,13.0584,0.0000,11.4403,0.0000,12.0874,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.322,13.0584,0.0000,11.4403,0.0000,12.0884,0.0000,12.4423,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.325,13.0518,0.0000,11.4433,0.0000,12.0894,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.327,13.0529,0.0000,11.4383,0.0000,12.0905,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.331,13.0573,0.0000,11.4423,0.0000,12.0863,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.361,13.0518,0.0000,11.4453,0.0000,12.0894,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.364,13.0540,0.0000,11.4403,0.0000,12.0884,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.367,13.0573,0.0000,11.4403,0.0000,12.0905,0.0000,12.4434,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.384,13.0518,0.0000,11.4453,0.0000,12.0874,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.387,13.0518,0.0000,11.4413,0.0000,12.0905,0.0000,12.4360,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.401,13.0573,0.0000,11.4433,0.0000,12.0905,0.0000,12.4423,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.405,13.0551,0.0000,11.4413,0.0000,12.0894,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.435,13.0551,0.0000,11.4453,0.0000,12.0894,0.0000,12.4391,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.438,13.0507,0.0000,11.4433,0.0000,12.0915,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.441,13.0540,0.0000,11.4423,0.0000,12.0894,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.443,13.0518,0.0000,11.4433,0.0000,12.0874,0.0000,12.4360,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.473,13.0584,0.0000,11.4383,0.0000,12.0894,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.477,13.0540,0.0000,11.4453,0.0000,12.0915,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.479,13.0551,0.0000,11.4443,0.0000,12.0905,0.0000,12.4360,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.482,13.0551,0.0000,11.4433,0.0000,12.0884,0.0000,12.4391,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.512,13.0540,0.0000,11.4423,0.0000,12.0894,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.518,13.0518,0.0000,11.4393,0.0000,12.0915,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.524,13.0551,0.0000,11.4423,0.0000,12.0894,0.0000,12.4455,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.527,13.0562,0.0000,11.4453,0.0000,12.0915,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.556,13.0573,0.0000,11.4433,0.0000,12.0905,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.559,13.0518,0.0000,11.4474,0.0000,12.0915,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.562,13.0551,0.0000,11.4443,0.0000,12.0926,0.0000,12.4444,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.565,13.0529,0.0000,11.4433,0.0000,12.0905,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.595,13.0551,0.0000,11.4443,0.0000,12.0863,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.598,13.0584,0.0000,11.4433,0.0000,12.0926,0.0000,12.4455,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.601,13.0562,0.0000,11.4463,0.0000,12.0926,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.603,13.0518,0.0000,11.4463,0.0000,12.0915,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.609,13.0540,0.0000,11.4453,0.0000,12.0926,0.0000,12.4360,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.640,13.0551,0.0000,11.4474,0.0000,12.0905,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.644,13.0606,0.0000,11.4474,0.0000,12.0946,0.0000,12.4476,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.652,13.0540,0.0000,11.4463,0.0000,12.0988,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.656,13.0584,0.0000,11.4474,0.0000,12.0946,0.0000,12.4455,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.668,13.0540,0.0000,11.4484,0.0000,12.0936,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.697,13.0529,0.0000,11.4453,0.0000,12.0926,0.0000,12.4455,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.701,13.0562,0.0000,11.4524,0.0000,12.0998,0.0000,12.4423,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.703,13.0562,0.0000,11.4504,0.0000,12.0988,0.0000,12.4465,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
