,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.005,13.0540,0.0000,11.4403,0.0000,12.0687,0.0000,12.4349,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.009,13.0485,0.0000,11.4453,0.0000,12.0739,0.0000,12.4296,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.011,13.0485,0.0000,11.4423,0.0000,12.0677,0.0000,12.4349,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.017,13.0464,0.0000,11.4443,0.0000,12.0697,0.0000,12.4338,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.020,13.0474,0.0000,11.4423,0.0000,12.0697,0.0000,12.4317,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.050,13.0431,0.0000,11.4413,0.0000,12.0708,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.053,13.0474,0.0000,11.4433,0.0000,12.0708,0.0000,12.4317,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.056,13.0442,0.0000,11.4443,0.0000,12.0718,0.0000,12.4360,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.060,13.0442,0.0000,11.4403,0.0000,12.0728,0.0000,12.4328,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.089,13.0464,0.0000,11.4403,0.0000,12.0718,0.0000,12.4349,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.096,13.0464,0.0000,11.4423,0.0000,12.0697,0.0000,12.4328,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.098,13.0442,0.0000,11.4413,0.0000,12.0697,0.0000,12.4307,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.128,13.0529,0.0000,11.4443,0.0000,12.0749,0.0000,12.4349,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.132,13.0485,0.0000,11.4413,0.0000,12.0677,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.135,13.0485,0.0000,11.4423,0.0000,12.0697,0.0000,12.4391,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.141,13.0485,0.0000,11.4443,0.0000,12.0656,0.0000,12.4317,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.143,13.0464,0.0000,11.4453,0.0000,12.0708,0.0000,12.4328,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.172,13.0442,0.0000,11.4443,0.0000,12.0677,0.0000,12.4338,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.176,13.0464,0.0000,11.4453,0.0000,12.0708,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.179,13.0464,0.0000,11.4423,0.0000,12.0728,0.0000,12.4349,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.181,13.0485,0.0000,11.4403,0.0000,12.0749,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.211,13.0485,0.0000,11.4433,0.0000,12.0718,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.214,13.0464,0.0000,11.4453,0.0000,12.0728,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.219,13.0464,0.0000,11.4433,0.0000,12.0687,0.0000,12.4328,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.223,13.0431,0.0000,11.4433,0.0000,12.0749,0.0000,12.4328,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.253,13.0442,0.0000,11.4463,0.0000,12.0728,0.0000,12.4338,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.257,13.0518,0.0000,11.4443,0.0000,12.0708,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.259,13.0496,0.0000,11.4443,0.0000,12.0718,0.0000,12.4317,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.265,13.0485,0.0000,11.4453,0.0000,12.0728,0.0000,12.4338,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.296,13.0496,0.0000,11.4423,0.0000,12.0770,0.0000,12.4338,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.299,13.0464,0.0000,11.4463,0.0000,12.0739,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.302,13.0518,0.0000,11.4474,0.0000,12.0760,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.327,13.0496,0.0000,11.4453,0.0000,12.0749,0.0000,12.4360,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.329,13.0496,0.0000,11.4453,0.0000,12.0718,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.354,13.0540,0.0000,11.4463,0.0000,12.0666,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.357,13.0507,0.0000,11.4443,0.0000,12.0770,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.378,13.0474,0.0000,11.4433,0.0000,12.0728,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.388,13.0420,0.0000,11.4443,0.0000,12.0718,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.390,13.0464,0.0000,11.4453,0.0000,12.0718,0.0000,12.4338,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.393,13.0485,0.0000,11.4443,0.0000,12.0708,0.0000,12.4317,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.397,13.0496,0.0000,11.4474,0.0000,12.0708,0.0000,12.4307,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.401,13.0442,0.0000,11.4484,0.0000,12.0760,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.432,13.0464,0.0000,11.4474,0.0000,12.0728,0.0000,12.4328,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.436,13.0431,0.0000,11.4413,0.0000,12.0739,0.0000,12.4317,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.438,13.0507,0.0000,11.4443,0.0000,12.0718,0.0000,12.4349,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.440,13.0464,0.0000,11.4423,0.0000,12.0728,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.472,13.0529,0.0000,11.4433,0.0000,12.0728,0.0000,12.4317,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.475,13.0507,0.0000,11.4463,0.0000,12.0739,0.0000,12.4391,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.480,13.0464,0.0000,11.4474,0.0000,12.0708,0.0000,12.4349,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.484,13.0464,0.0000,11.4443,0.0000,12.0718,0.0000,12.4349,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.515,13.0464,0.0000,11.4463,0.0000,12.0728,0.0000,12.4317,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.518,13.0485,0.0000,11.4443,0.0000,12.0718,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.521,13.0507,0.0000,11.4474,0.0000,12.0718,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.527,13.0464,0.0000,11.4443,0.0000,12.0739,0.0000,12.4338,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.531,13.0464,0.0000,11.4474,0.0000,12.0718,0.0000,12.4349,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
