,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.024,13.0979,0.0000,11.4010,0.0000,12.1299,0.0000,12.4212,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.025,13.0990,0.0000,11.3990,0.0000,12.1299,0.0000,12.4212,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.028,13.0979,0.0000,11.4020,0.0000,12.1299,0.0000,12.4191,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.057,13.0913,0.0000,11.4010,0.0000,12.1289,0.0000,12.4170,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.061,13.0979,0.0000,11.4030,0.0000,12.1310,0.0000,12.4159,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.063,13.0957,0.0000,11.4000,0.0000,12.1331,0.0000,12.4180,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.065,13.1001,0.0000,11.4010,0.0000,12.1310,0.0000,12.4191,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.095,13.0990,0.0000,11.4000,0.0000,12.1310,0.0000,12.4180,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.099,13.0968,0.0000,11.4000,0.0000,12.1310,0.0000,12.4212,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.102,13.0979,0.0000,11.4010,0.0000,12.1310,0.0000,12.4159,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.104,13.0946,0.0000,11.4010,0.0000,12.1320,0.0000,12.4170,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.108,13.0990,0.0000,11.4020,0.0000,12.1320,0.0000,12.4191,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.148,13.0979,0.0000,11.4040,0.0000,12.1341,0.0000,12.4159,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.152,13.0957,0.0000,11.3990,0.0000,12.1310,0.0000,12.4212,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.154,13.1001,0.0000,11.3990,0.0000,12.1320,0.0000,12.4159,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.179,13.0979,0.0000,11.4020,0.0000,12.1320,0.0000,12.4212,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.182,13.0968,0.0000,11.4010,0.0000,12.1310,0.0000,12.4191,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.188,13.1011,0.0000,11.4020,0.0000,12.1279,0.0000,12.4170,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.190,13.0957,0.0000,11.4040,0.0000,12.1299,0.0000,12.4148,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.215,13.0957,0.0000,11.3980,0.0000,12.1299,0.0000,12.4180,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.218,13.1033,0.0000,11.4000,0.0000,12.1279,0.0000,12.4243,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.237,13.0990,0.0000,11.4010,0.0000,12.1299,0.0000,12.4180,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.239,13.0979,0.0000,11.4000,0.0000,12.1310,0.0000,12.4191,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.241,13.0979,0.0000,11.3970,0.0000,12.1248,0.0000,12.4191,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.244,13.0990,0.0000,11.4000,0.0000,12.1320,0.0000,12.4180,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.277,13.1022,0.0000,11.4020,0.0000,12.1320,0.0000,12.4170,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.280,13.0957,0.0000,11.3980,0.0000,12.1279,0.0000,12.4212,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.283,13.0957,0.0000,11.4000,0.0000,12.1299,0.0000,12.4191,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.285,13.1033,0.0000,11.3990,0.0000,12.1268,0.0000,12.4201,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.293,13.0979,0.0000,11.4010,0.0000,12.1299,0.0000,12.4191,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.323,13.0935,0.0000,11.4000,0.0000,12.1289,0.0000,12.4201,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.326,13.1011,0.0000,11.3990,0.0000,12.1279,0.0000,12.4191,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.329,13.0946,0.0000,11.4010,0.0000,12.1279,0.0000,12.4170,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.331,13.0957,0.0000,11.3990,0.0000,12.1299,0.0000,12.4180,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
