,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.020,13.1352,0.0000,11.4514,0.0000,12.1580,0.0000,12.4360,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.029,13.1385,0.0000,11.4504,0.0000,12.1549,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.066,13.1451,0.0000,11.4514,0.0000,12.1591,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.068,13.1418,0.0000,11.4554,0.0000,12.1528,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.071,13.1363,0.0000,11.4504,0.0000,12.1539,0.0000,12.4391,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.101,13.1363,0.0000,11.4494,0.0000,12.1539,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.104,13.1374,0.0000,11.4514,0.0000,12.1570,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.107,13.1407,0.0000,11.4514,0.0000,12.1591,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.109,13.1374,0.0000,11.4514,0.0000,12.1560,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.119,13.1407,0.0000,11.4494,0.0000,12.1539,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.150,13.1363,0.0000,11.4514,0.0000,12.1560,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.154,13.1429,0.0000,11.4534,0.0000,12.1528,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.156,13.1429,0.0000,11.4534,0.0000,12.1591,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.163,13.1440,0.0000,11.4514,0.0000,12.1560,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.193,13.1341,0.0000,11.4524,0.0000,12.1591,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.197,13.1363,0.0000,11.4544,0.0000,12.1539,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.199,13.1407,0.0000,11.4544,0.0000,12.1549,0.0000,12.4360,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.202,13.1407,0.0000,11.4564,0.0000,12.1570,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.232,13.1407,0.0000,11.4544,0.0000,12.1580,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.235,13.1396,0.0000,11.4524,0.0000,12.1528,0.0000,12.4391,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.238,13.1473,0.0000,11.4534,0.0000,12.1580,0.0000,12.4391,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.244,13.1363,0.0000,11.4544,0.0000,12.1580,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.248,13.1374,0.0000,11.4514,0.0000,12.1539,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.277,13.1429,0.0000,11.4564,0.0000,12.1549,0.0000,12.4391,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
