,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.023,13.1550,0.0000,11.4665,0.0000,12.1726,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.026,13.1550,0.0000,11.4665,0.0000,12.1705,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.030,13.1550,0.0000,11.4665,0.0000,12.1726,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.062,13.1572,0.0000,11.4655,0.0000,12.1726,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.065,13.1539,0.0000,11.4665,0.0000,12.1737,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.068,13.1550,0.0000,11.4645,0.0000,12.1674,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.070,13.1594,0.0000,11.4665,0.0000,12.1726,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.100,13.1550,0.0000,11.4665,0.0000,12.1716,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.104,13.1550,0.0000,11.4665,0.0000,12.1716,0.0000,12.4360,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.106,13.1561,0.0000,11.4635,0.0000,12.1716,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.133,13.1539,0.0000,11.4665,0.0000,12.1705,0.0000,12.4349,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.135,13.1550,0.0000,11.4665,0.0000,12.1705,0.0000,12.4349,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.142,13.1539,0.0000,11.4685,0.0000,12.1705,0.0000,12.4444,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.145,13.1572,0.0000,11.4675,0.0000,12.1716,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.169,13.1605,0.0000,11.4645,0.0000,12.1716,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.171,13.1517,0.0000,11.4645,0.0000,12.1737,0.0000,12.4349,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.193,13.1539,0.0000,11.4655,0.0000,12.1726,0.0000,12.4423,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.195,13.1550,0.0000,11.4635,0.0000,12.1747,0.0000,12.4349,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.198,13.1528,0.0000,11.4675,0.0000,12.1695,0.0000,12.4423,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.200,13.1583,0.0000,11.4655,0.0000,12.1695,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.230,13.1561,0.0000,11.4655,0.0000,12.1716,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.234,13.1561,0.0000,11.4655,0.0000,12.1716,0.0000,12.4434,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.236,13.1572,0.0000,11.4685,0.0000,12.1737,0.0000,12.4360,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.239,13.1539,0.0000,11.4706,0.0000,12.1726,0.0000,12.4391,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.245,13.1506,0.0000,11.4685,0.0000,12.1695,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.274,13.1572,0.0000,11.4696,0.0000,12.1726,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.278,13.1539,0.0000,11.4685,0.0000,12.1737,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.280,13.1594,0.0000,11.4665,0.0000,12.1737,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.313,13.1594,0.0000,11.4685,0.0000,12.1726,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.317,13.1539,0.0000,11.4685,0.0000,12.1685,0.0000,12.4444,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.319,13.1539,0.0000,11.4696,0.0000,12.1726,0.0000,12.4391,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.321,13.1539,0.0000,11.4675,0.0000,12.1737,0.0000,12.4423,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.325,13.1550,0.0000,11.4665,0.0000,12.1726,0.0000,12.4434,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.356,13.1539,0.0000,11.4706,0.0000,12.1758,0.0000,12.4423,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.360,13.1583,0.0000,11.4706,0.0000,12.1758,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.363,13.1605,0.0000,11.4726,0.0000,12.1726,0.0000,12.4423,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.369,13.1572,0.0000,11.4726,0.0000,12.1737,0.0000,12.4423,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.373,13.1550,0.0000,11.4655,0.0000,12.1768,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.403,13.1561,0.0000,11.4685,0.0000,12.1758,0.0000,12.4391,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.406,13.1528,0.0000,11.4685,0.0000,12.1726,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.409,13.1550,0.0000,11.4706,0.0000,12.1737,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.425,13.1572,0.0000,11.4726,0.0000,12.1737,0.0000,12.4455,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.428,13.1572,0.0000,11.4685,0.0000,12.1799,0.0000,12.4444,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.458,13.1528,0.0000,11.4675,0.0000,12.1768,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.461,13.1583,0.0000,11.4696,0.0000,12.1778,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
